Hito	VersiÃ³n	Mes nÃƒÂ³mina	PosiciÃ³n	No Emp	Ceco	Patron ActuaL	PUESTO 	NOMBRE DELPUESTO 	ÃƒÆ’Ã‚ÂREA	ÃƒÆ’Ã‚ÂREA NOMBRE	TIPO DE ÃƒÆ’Ã‚ÂREA	TIPO PLAZA	Fecha de Ingreso	SUELDO MES	% Incremento	VARIABLE MENSUAL	Tipo de Egreso	PROYECTO	COSTO	GASTO	INVERSION	BONO	VALES DE GASOLINA	ESTACIONAMIENTO	VALOR ESTACIONAMIENTO	SGMM	Detalle ESTATUS DE VACANTE	PTU
H01	01	202409	POS011	1039035	334005	CC	ANALISTA	ANALISTA ATENCION A CLIENTES	LEG	LEGAL	ADMINISTRATIVA	ACTIVA	20211116	9750	0	0	GASTO		0	1	0	SIN BONO	0	0	0	1286.697704		29250
H01	01	202409	POS012	1039036	334008	CC	ANALISTA	ANALISTA COBRANZA	ADF	ADMINISTRACION Y FINANZAS	ADMINISTRATIVA	ACTIVA	20211116	15000	20	0	GASTO		0	1	0	SIN BONO	0	0	0	1769.679117		45000
H01	01	202409	POS013	1151349	100200	CC	CHOFER	CHOFER EJECUTIVO DG	DIR	DIRECCIÃƒÆ’Ã¢â‚¬Å“N GENERAL	ADMINISTRATIVA	REEMPLAZO	20240815	28000	0	0	GASTO		0	1	0	SIN BONO	0	0	0	#N/D	REEMPLAZO DE BENJAMIN TORRIJOS	0
H01	01	202409	POS014	981501	336287	CC	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20190601	37502.1	0	0	GASTO		0	1	0	SIN BONO	0	0	0	1481.335842		112506
H01	01	202409	POS015	1025216	334002	CC	GERENTE	GERENTE DE NEGOCIO 	CCO	COMERCIAL	NEGOCIO	ACTIVA	20210716	61875	0	3519	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	971.9439645		148500
H01	01	202409	POS016	980569	336287	CC	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20160204	76895.22	0	0	INVERSION	CONSUMIDOR FINAL	0	0	1	SIN BONO	0	SI / TERRET	4750	1123.791238		156086.67
H01	01	202409	POS017	980591	336056	CC	GERENTE	CONSULTOR	DAT	DATOS	NEGOCIO	ACTIVA	20190624	54720	0	0	HÍBRIDO COSTO	BI INTERNO 80%	0.2	0	0.8	CON BONO	0	0	0	1199.799179		164160
H01	01	202409	POS018	988683	334007	CC	GERENTE	GERENTE SEGURIDAD	SGR	SEGURIDAD	ADMINISTRATIVA	ACTIVA	20200915	80499.9	0	0	COSTO		1	0	0	CON BONO	0	SI / TERRET	4750	547.3098708		211676.21
H01	01	202409	POS019	675886	334008	CC	DIRECTOR DE DEPARTAMENTO 	DIRECTOR  ADMINISTRACION Y FINANZAS	ADF	ADMINISTRACION Y FINANZAS	ADMINISTRATIVA	ACTIVA	20081201	155713.887	0	0	GASTO		0	1	0	CON BONO	4000	SI / TERRET	4750	5302.158308		0
H01	01	202409	POS020	1025240	336044	CC	ANALISTA	ANALISTA DE AUDITORIA	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20210802	14949.89	0	3806	GASTO		0	1	0	SIN BONO	0	0	0	615.1398292		39000
H01	01	202409	POS021	1020160	336148	CC	COORDINADOR	DISEÃƒÆ’Ã¢â‚¬ËœADORA UX	LBR	LABORATORIO	NEGOCIO	ACTIVA	20210616	30000	0	0	INVERSION	LABORATORIO	0	0	1	SIN BONO	0	0	0	615.1398292		90000
H01	01	202409	POS022	320820	336287	CC	GERENTE	GERENTE DESARROLLO ORIGINACIÃƒÆ’Ã¢â‚¬Å“N	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20170901	59100	0	0	INVERSION	50% participando en Afiliacion Nuevo y FacturaciÃƒÂ³n AutomÃƒÂ¡tica 50%	0	0	1	CON BONO	0	SI / TERRET	4750	1958.114467		175324.25
H01	01	202409	POS023	1035210	336147	CC	COORDINADOR	COORDINADOR DE CONTRALORIA NORMATIVA	LEG	LEGAL	ADMINISTRATIVA	ACTIVA	20211018	20000	25	0	GASTO		0	1	0	SIN BONO	0	0	0	359.073425		60000
H01	01	202409	POS024	1025200	336281	CC	DESARROLLADOR	ADMINISTRADOR LIFERAY	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20210716	45287	0	0	INVERSION	LIFERAY (PROVEEDORES/ CONSUMIDOR FINAL)/ Nuevas funcionalidades de Talend Mayo y Junio	0	0	1	SIN BONO	0	0	0	772.9347417		135861
H01	01	202409	POS025	981506	336282	CC	ANALISTA	Analista de Producto	API	APIS	NEGOCIO	ACTIVA	20191216	15000	0	2160	GASTO		0	1	0	SIN BONO	0	0	0	615.1398292		45000
H01	01	202409	POS026	983040	336285	CC	ANALISTA	ADMINISTRADOR DE VENTAS	CCO	COMERCIAL	NEGOCIO	ACTIVA	20200406	15000	0	6750	GASTO		0	1	0	SIN BONO	0	0	0	1040.165579		45000
H01	01	202409	POS027	1008999	336056	CC	CONSULTOR	CONSULTOR	DAT	DATOS	NEGOCIO	ACTIVA	20210215	38000	0	0	HÍBRIDO COSTO	DATALAKE NVAS FUENTES (80%)	0.2	0	0.8	SIN BONO	0	0	0	435.2811042		114000
H01	01	202409	POS028	980593	336285	CC	EJECUTIVO DE CUENTA	EJECUTIVO DE CUENTA PREPAGO 	CCO	COMERCIAL	NEGOCIO	ACTIVA	20191119	15600	0	10624	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	1489.30195		46800
H01	01	202409	POS029	980575	336281	CC	GERENTE	GERENTE SISTEMAS	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20131217	72873.9	0	0	GASTO		0	1	0	CON BONO	0	SI / TERRET	4750	2119.93403		198721.94
H01	01	202409	POS030	979754	336050	CC	ANALISTA	ANALISTA CALIDAD	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20190903	11869.65	0	12688	GASTO		0	1	0	SIN BONO	0	0	0	772.9347417		27391.5
H01	01	202409	POS031	982219	335960	CC	ANALISTA	Asesor Back Office	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20170524	15000	30	17458	GASTO		0	1	0	SIN BONO	0	0	0	913.9700208	CAMBIO A COORDINADOR DE CARGAS	45000
H01	01	202409	POS032	562719	100200	CC	DIRECTOR GENERAL 	DIRECTOR GENERAL 	DIR	DIRECCIÃƒÆ’Ã¢â‚¬Å“N GENERAL	NEGOCIO	ACTIVA	20030716	390173.47	0	0	GASTO		0	1	0	CON BONO	4000	SI / TERRET	4750	6394.904188	INCREMENTO EN JUNIO 	0
H01	01	202409	POS033	983038	336280	CC	ADMINISTRADOR SAS	ADMINISTRADOR SAS	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20180713	22500	0	0	GASTO		0	1	0	SIN BONO	0	0	0	435.2811042		67500
H01	01	202409	POS034	521363	334004	CC	DIRECTOR	DIRECTOR DE SISTEMAS	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20000731	254310.9	0	0	HÍBRIDO COSTO	50% Costo / 50% inversion Sistema Circulo de credito	0.5	0	0.5	CON BONO	4000	SI / TERRET	4750	6736.291667		0
H01	01	202409	POS035	1014677	335872	CC	COORDINADOR	COORDINADOR MKT	MAR	MARKETING	ADMINISTRATIVA	ACTIVA	20210422	35000.1	0	0	GASTO		0	1	0	SIN BONO	0	0	0	890.6834917		105000.3
H01	01	202409	POS036	39034	335899	CC	GERENTE	GERENTE VERTICAL GOBIERNO 	CCO	COMERCIAL	NEGOCIO	ACTIVA	20180817	45000	0	11052	GASTO		0	1	0	SIN BONO	3000	SI / TERRET	4750	2232.977254		135000
H01	01	202409	POS037	1035213	336041	CC	RECEPCIONISTA	RECEPCIONISTA	REC	RECURSOS HUMANOS	ADMINISTRATIVA	ACTIVA	20211018	25000	0	0	GASTO		0	1	0	SIN BONO	0	0	0	772.9347417		75000
H01	01	202409	POS038	979765	336044	CC	ANALISTA	ANALISTA ATENCION A CLIENTES	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20111003	19500	0	17508	GASTO		0	1	0	SIN BONO	0	0	0	772.9347417	CAMBIO A COORDINADOR DE CARGAS	45000
H01	01	202409	POS039	978128	334008	CC	ANALISTA	ANALISTA COBRANZA	ADF	ADMINISTRACION Y FINANZAS	ADMINISTRATIVA	ACTIVA	20160627	16899.9	10	0	GASTO		0	1	0	SIN BONO	0	0	0	1575.589529		50699.7
H01	01	202409	POS040	980589	336287	CC	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20190506	44000.1	0	0	GASTO		0	1	0	SIN BONO	0	0	0	547.3098708		132000.3
H01	01	202409	POS041	784773	334007	CC	COORDINADOR	COORDINADOR SEGURIDAD DE LA INFORMACION 	SGR	SEGURIDAD	ADMINISTRATIVA	ACTIVA	20201103	63500.13	27	0	COSTO		1	0	0	SIN BONO	0	0	0	435.2811042		150000.3
H01	01	202409	POS042	607746	334005	CC	COORDINADOR	COORDINADOR ATENCION A CLIENTES	LEG	LEGAL	ADMINISTRATIVA	ACTIVA	20050809	29288.1	0	0	GASTO		0	1	0	SIN BONO	0	SI / PLAZA POLANCO	2100	2760.433008	SE CONSIDERA INCRMENTO DE 15	87864.3
H01	01	202409	POS043	979769	336050	CC	ANALISTA	ANALISTA CALIDAD	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20170327	9130.5	0	22648	GASTO		0	1	0	SIN BONO	0	0	0	1303.722821	CAMBIO A COORDINADOR DE CARGAS	27391.5
H01	01	202409	POS044	982216	335958	CC	ANALISTA	Sales Onboarding Executive	CCO	COMERCIAL	ADMINISTRATIVA	ACTIVA	20140410	15600	0	15600	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	2130.9593		46800
H01	01	202409	POS045	982215	335960	CC	ANALISTA	Asesor Back Office	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20130319	18000	0	5940	GASTO		0	1	0	SIN BONO	0	0	0	1281.799288		45000
H01	01	202409	POS046	1025199	336281	CC	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20210716	51994	0	0	COSTO	FIS 50% Y MONITOREA 50%	1	0	0	SIN BONO	0	0	0	2370.680621		155982
H01	01	202409	POS047	980576	334004	CC	ASISTENTE	ASISTENTE DIR SISTEMAS	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20161018	19500	0	0	GASTO		0	1	0	SIN BONO	0	0	0	942.4426375		58500
H01	01	202409	POS048	981504	336282	CC	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	NEGOCIO	ACTIVA	20190508	42999.9	0	0	COSTO	API	1	0	0	SIN BONO	0	0	0	1459.014077		128999.7
H01	01	202409	POS049	974454	336056	CC	GERENTE	GERENTE CALIDAD DATOS	DAT	DATOS	NEGOCIO	ACTIVA	20200311	105612	0	0	HÍBRIDO COSTO	"DATALAKE  Y SAND BOX NVAS FUENTES (70%), 30% DATOS"	0.3	0	0.7	CON BONO	0	SI / TERRET	4750	1771.585217	INCREMENTO EN JUNIO 	215089.06
H01	01	202409	POS050	980585	336287	CC	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20180705	32500	0	0	HÍBRIDO COSTO	"PFM, PLD, RCE (INVERSION WELLNESS 30% / COSTO PLD 35%/COSTO RCE 35%)"	0.7	0	0.3	SIN BONO	0	0	0	772.9347417		97500
H01	01	202409	POS051	981492	335949	CC	GERENTE	GERENTE DE CUENTA CLAVE BANCA	CCO	COMERCIAL	NEGOCIO	ACTIVA	20140917	40000	0	136562	GASTO		0	1	0	SIN BONO	3000	SI / TERRET	4750	547.3098708		120000
H01	01	202409	POS052	39662	334006	CC	GERENTE	GERENTE AUDITORIA	AUD	AUDITORIA INTERNA	ADMINISTRATIVA	ACTIVA	20180920	94380	0	0	GASTO		0	1	0	CON BONO	3000	SI / TERRET	4750	1552.790956		208533.45
H01	01	202409	POS053	981499	336287	CC	DESARROLLADOR	DESARROLLADOR JAVA SENIOR DE ORIGINACION	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20171215	32499.9	0	0	HÍBRIDO COSTO	ORIGINACIÃƒâ€œN / SAAS  (COSTO ORIGINACIÃƒâ€œN 50% / IVERSIÃƒâ€œN FINANCIAL WELLNESS 50%)	0.5	0	0.5	SIN BONO	0	0	0	547.3098708		97500
H01	01	202409	POS054	787960	335977	CC	GERENTE	BUSINESS OWNER DECISION ADVISOR	PRD	PRODUCTO	NEGOCIO	ACTIVA	20201216	102000	0	0	HÍBRIDO COSTO	FIS API 30% FES V4 30% COSTO 40%	0.4	0	0.6	CON BONO	0	SI / TERRET	4750	547.3098708		227743.11
H01	01	202409	POS055	968086	336056	CC	DIRECTOR DE DEPARTAMENTO 	DIRECTOR DATOS	DAT	DATOS	NEGOCIO	ACTIVA	20200121	165000	0	0	HÍBRIDO COSTO	20% COSTO / 80% INVERSION / TODO INVERSION MAYO Y JUNIO	0.2	0	0.8	CON BONO	4000	SI / TERRET	4750	981.9796167		0
H01	01	202409	POS056	1025227	334005	CC	ANALISTA	ANALISTA ATENCION A CLIENTES	LEG	LEGAL	ADMINISTRATIVA	ACTIVA	20210802	9750	0	0	GASTO		0	1	0	SIN BONO	0	0	0	626.3042625		22500
H01	01	202409	POS057	979738	334005	CC	ANALISTA	ANALISTA ATENCION A CLIENTES	LEG	LEGAL	ADMINISTRATIVA	ACTIVA	20161024	9750.8607	23.072	0	GASTO		0	1	0	SIN BONO	0	0	0	538.8933333		29250
H01	01	202409	POS058	686699	334003	CC	DIRECTOR DE DEPARTAMENTO 	DIRECTOR INNOVACIÃƒÆ’Ã¢â‚¬Å“N	INN	INNOVACION	NEGOCIO	ACTIVA	20090901	151389.72	0	0	HÍBRIDO GASTO	25%FacturaciÃƒÂ³n / 25% Afiliacion y 50%Gasto	0	0.5	0.5	CON BONO	4000	SI / TERRET	4750	12674.86603		0
H01	01	202409	POS059	981502	336279	CC	COORDINADOR	COORDINADOR OPERACIONES	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20190617	50000	0	0	GASTO		0	1	0	SIN BONO	0	SI / SIN AUTO	0	710.4139443		119999.7
H01	01	202409	POS060	1060813	334205	CL	ANALISTA	EJECUTIVO DE DESARROLLO CIRCULO PROVEEDORES	CCO	COMERCIAL	NEGOCIO	ACTIVA	20220516	10000	0	17707	GASTO	CLIENTES PROVEEDORES	0	1	0	BONO2023		SI / TERRET	4750	0		0
H01	01	202409	POS061	980578	336285	CC	COORDINADOR	TEAM LEADER	CCO	COMERCIAL	NEGOCIO	ACTIVA	20170717	20000.1	0	8927	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	772.9347417		60000
H01	01	202409	POS062	784155	335941	CC	GERENTE	GERENTE VERTICAL FINANCIERAS NO BANCARIAS	CCO	COMERCIAL	NEGOCIO	ACTIVA	20201026	90000	0	103097	GASTO		0	1	0	SIN BONO	3000	SI / TERRET	4750	1114.946621		215073.71
H01	01	202409	POS063	0	334008	CC	COORDINADOR	COORDINADOR COMPRAS	ADF	ADMINISTRACION Y FINANZAS	ADMINISTRATIVA	REEMPLAZO	20241001	35000	0	0	GASTO		0	1	0	SIN BONO	0	0	0	615	POSIBLE REEMPLAZO	0
H01	01	202409	POS064	978129	334008	CC	GERENTE	GERENTE PLANEACION FINANCIERA	ADF	ADMINISTRACION Y FINANZAS	ADMINISTRATIVA	ACTIVA	20160912	68328	0	0	GASTO		0	1	0	CON BONO	0	SI / TERRET	4750	1946.736895		190999.83
H01	01	202409	POS065	751618	336041	CC	DIRECTOR DE DEPARTAMENTO 	DIRECTOR  DESARROLLO ORGANIZACIONAL 	REC	RECURSOS HUMANOS	ADMINISTRATIVA	ACTIVA	20120102	153208.869	0	0	GASTO		0	1	0	CON BONO	4000	SI / TERRET	4750	2627.327821		0
H01	01	202409	POS066	1037161	334003	CC	GERENTE	GERENTE DE TRANSFORMACIÃƒÆ’Ã¢â‚¬Å“N  DIGITAL	INN	INNOVACION	NEGOCIO	ACTIVA	20211101	92000	0	0	INVERSION	50% Facturacion / 50% Afiliacion 	0	0	1	CON BONO	0	SI / TERRET	4750	421.4149311		231211.57
H01	01	202409	POS067	583820	000000	CC	EJECUTIVO DE CUENTA	EJECUTIVO DE CUENTA PREPAGO 	CCO	COMERCIAL	NEGOCIO	ACTIVA	20040701	19946.19	0	16320	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	2844.81575		54399
H01	01	202409	POS068	1095265	336050	CC	ANALISTA	ANALISTA CALIDAD	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20230213	12300	0	4365	GASTO		0	1	0	SIN BONO	0	0	0	469.43		36900
H01	01	202409	POS069	1070172	335876	CC	GERENTE	GERENTE DE CUENTA CLAVE	CCO	COMERCIAL	NEGOCIO	ACTIVA	20210716	44800	0	23625	GASTO		0	1	0	SIN BONO	3000	SI / TERRET	4750	934.0266667		105000
H01	01	202409	POS070	979757	335872	CC	GERENTE	GERENTE MERCADOTECNIA	MAR	MARKETING	ADMINISTRATIVA	ACTIVA	20171103	55000	0	0	GASTO		0	1	0	CON BONO	0	SI / TERRET	4750	547.3098708		165000
H01	01	202409	POS071	981505	335899	CC	EJECUTIVO DE CUENTA	EJECUTIVO DE CUENTA GOBIERNO 	CCO	COMERCIAL	NEGOCIO	ACTIVA	20191028	22000	0	378	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	1199.799179		66000
H01	01	202409	POS072	689597	335973	CC	DIRECTOR DE DEPARTAMENTO 	DIRECTOR LEGAL 	LEG	LEGAL	ADMINISTRATIVA	ACTIVA	20091016	171680.1	0	0	GASTO		0	1	0	CON BONO	4000	SI / TERRET	4750	4935.736		0
H01	01	202409	POS073	980582	336287	CC	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20151215	45000	0	0	INVERSION	"INVERSIÃƒâ€œN FACTURACIÃƒâ€œN 70%, FICO EXTENDED 4 30%"	0	0	1	SIN BONO	0	SI / TERRET	4750	1797.800833		135000
H01	01	202409	POS074	1025189	336282	CC	DESARROLLADOR	DESARROLLADOR	API	APIS	NEGOCIO	ACTIVA	20210716	43569	0	0	INVERSION	PAYMENT SERVICES	0	0	1	SIN BONO	0	0	0	2001.491692		130707
H01	01	202409	POS075	1033283	336286	CC	SOPORTE	Ingeniero de Soporte TÃƒÆ’Ã‚Â©cnico	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20211004	15000	0	0	GASTO		0	1	0	SIN BONO	0	0	0	2977.7505		45000
H01	01	202409	POS076	1151734	335972	CC	INGENIERO	Customer Success API Engineer	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20240819	20000	0	0	GASTO		0	1	0	SIN BONO	0	0	0	#N/D	REEMPLAZO DE JOSE LUIS LICONA	#N/D
H01	01	202409	POS077	968837	334007	CC	DIRECTOR DE DEPARTAMENTO 	DIRECTOR SEGURIDAD DE LA INFORMACION 	SGR	SEGURIDAD	ADMINISTRATIVA	ACTIVA	20200127	230000.1	0	0	GASTO		0	1	0	CON BONO	4000	SI / TERRET	4750	7340.636871		0
H01	01	202409	POS078	664738	336280	CC	ANALISTA	ANALISTA OPERACIONES	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20080318	20000.1	0	0	GASTO		0	1	0	SIN BONO	0	0	0	1783.092192		60000
H01	01	202409	POS079	983036	336281	CL	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20191031	47000.1	0	0	INVERSION	"EVALUACIONES LABORALES, EVA"	0	0	1	BONO2022		0	0	0		0
H01	01	202409	POS080	980584	000000	CC	EJECUTIVO DE CUENTA	EJECUTIVO DE CUENTA PREPAGO 	CCO	COMERCIAL	NEGOCIO	ACTIVA	20180416	15600	0	12703	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	615.1398292		46800
H01	01	202409	POS081	1028662	335983	CC	COORDINADOR	COORDINADOR DE RECLUTAMIENTO	REC	RECURSOS HUMANOS	ADMINISTRATIVA	ACTIVA	20210830	42120	0	0	GASTO		0	1	0	SIN BONO	0	0	0	906.0700792	INCREMENTO PROGRAMADO EN AGOSTO	81000
H01	01	202409	POS082	1025190	336281	CC	DESARROLLADOR	DESARROLLADOR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20210716	38113	0	0	COSTO	"SCORE 30%, VANTAGE 30%, DETERMINA 40%"	1	0	0	SIN BONO	0	0	0	1115.175		114339
H01	01	202409	POS083	979748	336050	CC	COORDINADOR	GERENTE DE PROYECTOS	EXC	EXCELENCIA OPERACIONAL	ADMINISTRATIVA	ACTIVA	20130529	22100.13	0	52750	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	2170.428533		51000.3
H01	01	202409	POS084	1025211	334207	CL	DESARROLLADOR	DESARROLLADOR ANGULAR	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20210802	30000	0	0	INVERSION	AURA	0	0	1	BONO2022		0	0	0		0
H01	01	202409	POS085	978149	334007	CC	GERENTE	GERENTE SEGURIDAD	SGR	SEGURIDAD	ADMINISTRATIVA	ACTIVA	20191014	62790	28	0	GASTO		0	1	0	CON BONO	0	SI / SIN AUTO	0	359.073425		181592.45
H01	01	202409	POS086	1020752	335939	CC	GERENTE	GERENTE VERTICAL BANCA	CCO	COMERCIAL	NEGOCIO	ACTIVA	20210621	100000	0	74263	GASTO		0	1	0	SIN BONO	3000	SI / TERRET	4750	2424.553944		244800.81
H01	01	202409	POS087	1109434	334008	CC	COORDINADOR	COORDINADOR PLANEACIÃƒÆ’Ã¢â‚¬Å“N FINANCIERA	ADF	ADMINISTRACION Y FINANZAS	ADMINISTRATIVA	ACTIVA	20230703	50000	0	0	GASTO		0	1	0	SIN BONO	0	0	0	0		79358.63
H01	01	202409	POS088	1031502	335981	CC	COORDINADOR	COMMUNITY MANAGER	COF	CONSUMIDOR FINAL	NEGOCIO	ACTIVA	20210922	29900	0	0	GASTO		0	1	0	SIN BONO	0	0	0	547.3098708		89700
H01	01	202409	POS089	802947	336287	CC	GERENTE	GERENTE OPERACIÃƒÆ’Ã¢â‚¬Å“N CORE	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20110110	104650	0	0	GASTO	EDUCACION FINANCIERA	0	1	0	CON BONO	0	SI / TERRET	4750	2345.507883		231444.8
H01	01	202409	POS090	0	336281	CC	GERENTE	Gerente de Sistemas	SIS	SISTEMAS	ADMINISTRATIVA	REEMPLAZO	20241001	81502	0	0	INVERSION	Arquitecto de equipos de desarrollo (sistema Circulo de CrÃƒÂ©dito) 100%	0	0	1	SIN BONO	0	0	0	#N/D		#N/D
H01	01	202409	POS091	1144461	334008	CC	GERENTE	ANALISTA COBRANZA	ADF	ADMINISTRACION Y FINANZAS	ADMINISTRATIVA	ACTIVA	20240611	68000	0	0	GASTO		0	1	0	CON BONO	0	SI / SIN AUTO	0	2222	REEMPLAZO ALEJANDRA DELGADO	0
H01	01	202409	POS092	980574	335958	CC	GERENTE	GERENTE ADMINISTRACION VENTAS	CCO	COMERCIAL	NEGOCIO	ACTIVA	20120903	52000	0	52000	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	2799.251429		156000
H01	01	202409	POS093	583285	336280	CC	COORDINADOR	LIDER DE OPERACIONES	SIS	SISTEMAS	ADMINISTRATIVA	ACTIVA	20040623	39999.9	0	0	GASTO		0	1	0	SIN BONO	0	0	0	2927.285675		120000
H01	01	202409	POS094	1042435	335975	CC	CONSULTOR	INGENIERO DE DATOS JR.	ANA	ANALYTICS	NEGOCIO	ACTIVA	20211213	30000	0	0	INVERSION	VARIABLES (INFORMACIÃƒâ€œN AGREGADA)	0	0	1	SIN BONO	0	0	0	946.0048943		90000
H01	01	202409	POS095	1025237	336139	CC	GERENTE	GERENTE JURIDICO COMERCIAL	LEG	LEGAL	ADMINISTRATIVA	ACTIVA	20210716	45000	15	0	GASTO		0	1	0	SIN BONO	0	SI / TERRET	4750	1653.839825		135000
